county,municipality,precinct,sheriff2020_d,sheriff2020_r,sheriff2023_d,sheriff2023_r,gov2025_d,gov2025_r
Atlantic,Absecon,COUNTYWIDE,2723,2492,1151,1426,1942,1961
Atlantic,Atlantic City,COUNTYWIDE,9610,2663,3219,1538,5804,2185
Atlantic,Brigantine,COUNTYWIDE,2138,2966,944,1592,1429,2211
Atlantic,Buena Borough,COUNTYWIDE,939,1101,267,625,676,860
Atlantic,Buena Vista Township,COUNTYWIDE,1711,2262,676,1000,1191,1795
Atlantic,Corbin City,COUNTYWIDE,107,212,67,147,81,192
Atlantic,Egg Harbor City,COUNTYWIDE,1095,855,412,397,779,593
Atlantic,Egg Harbor Township,COUNTYWIDE,12748,11874,4462,5155,9332,8622
Atlantic,Estell Manor,COUNTYWIDE,345,771,177,421,251,602
Atlantic,Folsom,COUNTYWIDE,404,637,131,254,293,446
Atlantic,Galloway Township,COUNTYWIDE,10223,9328,3872,4341,7503,6925
Atlantic,Hamilton Township,COUNTYWIDE,7813,6456,2845,2836,5669,4800
Atlantic,Hammonton,COUNTYWIDE,2907,4341,1201,2220,2275,3775
Atlantic,Linwood,COUNTYWIDE,2427,2093,1145,1069,1602,1830
Atlantic,Longport,COUNTYWIDE,261,358,139,196,180,284
Atlantic,Margate,COUNTYWIDE,2053,1686,964,1012,1335,1506
Atlantic,Mullica Township,COUNTYWIDE,1307,2029,505,911,974,1561
Atlantic,Northfield,COUNTYWIDE,2936,2177,1274,1086,1900,1914
Atlantic,Pleasantville,COUNTYWIDE,5407,1155,1301,439,3335,645
Atlantic,Port Republic,COUNTYWIDE,285,452,164,230,244,397
Atlantic,Somers Point,COUNTYWIDE,2928,2637,1229,1350,1995,1989
Atlantic,Ventnor,COUNTYWIDE,2731,2254,1158,1047,1831,1738
Atlantic,Weymouth,COUNTYWIDE,704,978,367,534,580,772
