year,candidate,declared_votes,source
2021,Erica Polito,1840,Clarity detail.xml Choice/@totalVotes
2021,Kelly Donio,2109,Clarity detail.xml Choice/@totalVotes
2021,Luke Coia,1883,Clarity detail.xml Choice/@totalVotes
2021,Mickey Pullia,1622,Clarity detail.xml Choice/@totalVotes
2021,Personal Choice,26,Clarity detail.xml Choice/@totalVotes
2021,Sean Grasso,1395,Clarity detail.xml Choice/@totalVotes
2021,Thomas Attanasi,1965,Clarity detail.xml Choice/@totalVotes
2023,Bob Lolio,1417,"Atlantic County certified results, town-wide line"
2023,Kelli Fallon,2108,"Atlantic County certified results, town-wide line"
2023,Mickey Pullia,1774,"Atlantic County certified results, town-wide line"
2023,Raymond Scipione,1898,"Atlantic County certified results, town-wide line"
2023,Shawn K. McCloud,1592,"Atlantic County certified results, town-wide line"
2023,WRITE-IN,42,"Atlantic County certified results, town-wide line"
