year,precinct,candidate,votes_total,votes_election_day,votes_early,votes_vbm,votes_provisional,ballots_cast,seats_up
2021,Hammonton EV,Erica Polito,272,,272,,,634,3
2021,Hammonton EV,Thomas Attanasi,261,,261,,,634,3
2021,Hammonton EV,Sean Grasso,180,,180,,,634,3
2021,Hammonton EV,Kelly Donio,308,,308,,,634,3
2021,Hammonton EV,Luke Coia,240,,240,,,634,3
2021,Hammonton EV,Mickey Pullia,175,,175,,,634,3
2021,Hammonton EV,Personal Choice,6,,6,,,634,3
2021,Hammonton EV Prov,Erica Polito,10,,,,10,22,3
2021,Hammonton EV Prov,Thomas Attanasi,14,,,,14,22,3
2021,Hammonton EV Prov,Sean Grasso,5,,,,5,22,3
2021,Hammonton EV Prov,Kelly Donio,9,,,,9,22,3
2021,Hammonton EV Prov,Luke Coia,11,,,,11,22,3
2021,Hammonton EV Prov,Mickey Pullia,5,,,,5,22,3
2021,Hammonton EV Prov,Personal Choice,0,,,,,22,3
2021,Hammonton Mail-in,Erica Polito,330,,,330,,807,3
2021,Hammonton Mail-in,Thomas Attanasi,316,,,316,,807,3
2021,Hammonton Mail-in,Sean Grasso,213,,,213,,807,3
2021,Hammonton Mail-in,Kelly Donio,373,,,373,,807,3
2021,Hammonton Mail-in,Luke Coia,243,,,243,,807,3
2021,Hammonton Mail-in,Mickey Pullia,293,,,293,,807,3
2021,Hammonton Mail-in,Personal Choice,8,,,8,,807,3
2021,Hammonton Provisional,Erica Polito,22,,,,22,68,3
2021,Hammonton Provisional,Thomas Attanasi,23,,,,23,68,3
2021,Hammonton Provisional,Sean Grasso,15,,,,15,68,3
2021,Hammonton Provisional,Kelly Donio,19,,,,19,68,3
2021,Hammonton Provisional,Luke Coia,26,,,,26,68,3
2021,Hammonton Provisional,Mickey Pullia,20,,,,20,68,3
2021,Hammonton Provisional,Personal Choice,0,,,,,68,3
2021,Hammonton Town 01,Erica Polito,179,179,,,,626,3
2021,Hammonton Town 01,Thomas Attanasi,245,245,,,,626,3
2021,Hammonton Town 01,Sean Grasso,187,187,,,,626,3
2021,Hammonton Town 01,Kelly Donio,242,242,,,,626,3
2021,Hammonton Town 01,Luke Coia,252,252,,,,626,3
2021,Hammonton Town 01,Mickey Pullia,217,217,,,,626,3
2021,Hammonton Town 01,Personal Choice,1,1,,,,626,3
2021,Hammonton Town 02,Erica Polito,168,168,,,,485,3
2021,Hammonton Town 02,Thomas Attanasi,175,175,,,,485,3
